,b,delta,H,MAPE
52,-10.0,1152,"[-301952.0, -618906.0, -802961.0, -976861.0, -1350116.0]",0.34889863621865924
53,-10.0,1153,"[-305071.0, -623481.0, -807851.0, -982276.0, -1355471.0]",0.3475998674570156
54,-10.0,1154,"[-308124.0, -627934.0, -812589.0, -987509.0, -1360584.0]",0.3463226858428897
55,-10.0,1155,"[-311111.0, -632265.0, -817175.0, -992560.0, -1365455.0]",0.3450660254078725
56,-10.0,1156,"[-314032.0, -636474.0, -821609.0, -997429.0, -1370084.0]",0.3438288657821428
57,-10.0,1157,"[-316887.0, -640561.0, -825891.0, -1002116.0, -1374471.0]",0.34261022912426814
58,-10.0,1158,"[-319676.0, -644526.0, -830021.0, -1006621.0, -1378616.0]",0.3414091772621344
59,-10.0,1159,"[-322399.0, -648369.0, -833999.0, -1010944.0, -1382519.0]",0.3402248090266612
60,-10.0,1160,"[-325056.0, -652090.0, -837825.0, -1015085.0, -1386180.0]",0.3390562577616623
61,-10.0,1161,"[-327647.0, -655689.0, -841499.0, -1019044.0, -1389599.0]",0.33790268899472253
62,-10.0,1162,"[-330172.0, -659166.0, -845021.0, -1022821.0, -1392776.0]",0.33676329825532314
63,-10.0,1163,"[-332631.0, -662521.0, -848391.0, -1026416.0, -1395711.0]",0.3356373090276557
64,-10.0,1164,"[-335024.0, -665754.0, -851609.0, -1029829.0, -1398404.0]",0.33452397082665597
65,-10.0,1165,"[-337351.0, -668865.0, -854675.0, -1033060.0, -1400855.0]",0.3334225573867598
66,-10.0,1166,"[-339612.0, -671854.0, -857589.0, -1036109.0, -1403064.0]",0.3323323649537583
67,-10.0,1167,"[-341807.0, -674721.0, -860351.0, -1038976.0, -1405031.0]",0.33125271067091333
68,-10.0,1168,"[-343936.0, -677466.0, -862961.0, -1041661.0, -1406756.0]",0.3301829310511958
69,-10.0,1169,"[-345999.0, -680089.0, -865419.0, -1044164.0, -1408239.0]",0.3291223805281417
70,-10.0,1170,"[-347996.0, -682590.0, -867725.0, -1046485.0, -1409480.0]",0.3280704300783873
71,-10.0,1171,"[-349927.0, -684969.0, -869879.0, -1048624.0, -1410479.0]",0.3270264659094503
72,-10.0,1172,"[-351792.0, -687226.0, -871881.0, -1050581.0, -1411236.0]",0.32598988820678043
73,-10.0,1173,"[-353591.0, -689361.0, -873731.0, -1052356.0, -1411751.0]",0.3249601099345096
74,-10.0,1174,"[-355324.0, -691374.0, -875429.0, -1053949.0, -1412024.0]",0.3239365556846927
75,-10.0,1175,"[-356991.0, -693265.0, -876975.0, -1055360.0, -1412055.0]",0.32291866057015745
76,-10.0,1176,"[-358592.0, -695034.0, -878369.0, -1056589.0, -1411844.0]",0.3219058691563639
77,-10.0,1177,"[-360127.0, -696681.0, -879611.0, -1057636.0, -1411391.0]",0.3208976344279331
78,-10.0,1178,"[-361596.0, -698206.0, -880701.0, -1058501.0, -1410696.0]",0.3198934167857224
79,-10.0,1179,"[-362999.0, -699609.0, -881639.0, -1059184.0, -1409759.0]",0.31889268307052265
