,b,delta,H,MAPE
45,-5.500000000000016,1239,"[47301748.0, 86001765.0, 106182932.5, 126616647.5, 166177405.0]",0.300149464803424
46,-5.400000000000016,1239,"[47305707.2, 86009024.0, 106191936.0, 126627406.00000001, 166191618.0]",0.30014988508223256
47,-5.300000000000017,1239,"[47309666.4, 86016283.0, 106200939.49999999, 126638164.5, 166205831.0]",0.3001503052896858
48,-5.200000000000017,1239,"[47313625.6, 86023542.0, 106209943.00000001, 126648923.0, 166220044.0]",0.30015072542580173
49,-5.100000000000017,1239,"[47317584.8, 86030801.0, 106218946.5, 126659681.49999999, 166234257.0]",0.3001511454905989
50,-5.000000000000018,1239,"[47321544.0, 86038060.0, 106227950.0, 126670440.0, 166248470.0]",0.3001515654840953
51,-4.900000000000018,1239,"[47325503.2, 86045319.0, 106236953.5, 126681198.50000001, 166262683.0]",0.3001519854063089
52,-4.8000000000000185,1239,"[47329462.4, 86052578.0, 106245956.99999999, 126691957.0, 166276896.0]",0.300152405257258
53,-4.700000000000019,1239,"[47333421.6, 86059837.0, 106254960.50000001, 126702715.5, 166291109.0]",0.3001528250369607
54,-4.600000000000019,1239,"[47337380.8, 86067096.0, 106263964.0, 126713473.99999999, 166305322.0]",0.3001532447454352
55,-4.5000000000000195,1239,"[47341340.0, 86074355.0, 106272967.5, 126724232.5, 166319535.0]",0.3001536643826996
56,-4.40000000000002,1239,"[47345299.2, 86081614.0, 106281971.0, 126734991.00000001, 166333748.0]",0.300154083948772
57,-4.30000000000002,1239,"[47349258.4, 86088873.0, 106290974.49999999, 126745749.5, 166347961.0]",0.3001545034436705
58,-4.200000000000021,1239,"[47353217.599999994, 86096132.0, 106299978.00000001, 126756508.0, 166362174.0]",0.3001549228674132
59,-4.100000000000021,1239,"[47357176.8, 86103391.0, 106308981.5, 126767266.49999999, 166376387.0]",0.3001553422200183
60,-4.000000000000021,1239,"[47361136.0, 86110650.0, 106317985.0, 126778025.0, 166390600.0]",0.3001557615015037
61,-3.9000000000000217,1239,"[47365095.2, 86117909.0, 106326988.5, 126788783.50000001, 166404813.0]",0.3001561807118878
62,-3.800000000000022,1239,"[47369054.4, 86125168.0, 106335991.99999999, 126799541.99999999, 166419026.0]",0.3001565998511884
63,-3.7000000000000224,1239,"[47373013.599999994, 86132427.0, 106344995.50000001, 126810300.5, 166433239.0]",0.3001570189194237
64,-3.6000000000000227,1239,"[47376972.8, 86139686.0, 106353999.0, 126821058.99999999, 166447452.0]",0.30015743791661176
